City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Harrisonville,US,2021-12-07 10:11:01,38.6533,-94.3488,30.2,61,75,4.61
228,Constitucion,CL,2021-12-07 10:09:41,-35.3333,-72.4167,53.04,84,71,7.67
229,Opuwo,NA,2021-12-07 10:11:01,-18.0607,13.84,88.9,16,0,9.26
230,Ayagoz,KZ,2021-12-07 10:11:01,47.9714,80.4392,31.64,99,100,7.43
231,Kargasok,RU,2021-12-07 10:11:02,59.0556,80.8572,0.34,94,99,10.54
232,Mount Gambier,AU,2021-12-07 10:11:02,-37.8333,140.7667,51.44,64,74,8.37
233,Gilgit,PK,2021-12-07 10:11:02,35.9221,74.3087,44.96,41,83,0.78
234,Bani,DO,2021-12-07 10:11:02,18.2833,-70.3333,76.86,82,5,10.54
235,Sideropolis,BR,2021-12-07 10:10:34,-28.5978,-49.4244,62.85,95,94,2.19
236,Tamandare,BR,2021-12-07 10:11:03,-8.7597,-35.1047,81.45,60,2,6.29
237,Margate,GB,2021-12-07 10:09:37,51.3813,1.3862,45.3,81,65,5.01
238,Bengkulu,ID,2021-12-07 10:11:03,-3.8004,102.2655,81.79,78,93,7.76
239,Vao,NC,2021-12-07 10:11:03,-22.6667,167.4833,78.51,80,0,8.16
240,Estelle,US,2021-12-07 10:11:04,29.8458,-90.1067,64.0,86,90,3.0
241,Arona,ES,2021-12-07 10:09:28,28.0996,-16.681,63.81,67,75,14.97
242,Cap Malheureux,MU,2021-12-07 10:11:04,-19.9842,57.6142,84.69,57,8,10.0
243,Abha,SA,2021-12-07 10:09:28,18.2164,42.5053,75.45,5,0,9.22
244,Kaitangata,NZ,2021-12-07 10:11:04,-46.2817,169.8464,50.4,95,20,3.8
245,Fortuna,US,2021-12-07 10:11:05,40.5982,-124.1573,50.67,76,90,1.01
246,Inhambane,MZ,2021-12-07 10:07:30,-23.865,35.3833,89.82,54,77,11.79
247,Mecca,SA,2021-12-07 10:10:14,21.4267,39.8261,88.95,34,0,10.4
248,Khasan,RU,2021-12-07 10:11:05,42.4308,130.6434,32.02,68,1,5.39
249,Sabancuy,MX,2021-12-07 10:11:06,18.9667,-91.1833,73.49,91,0,7.4
250,Les Cayes,HT,2021-12-07 10:11:06,18.2,-73.75,74.46,85,32,3.78
251,Kushmurun,KZ,2021-12-07 10:11:06,52.4503,64.6311,8.62,88,6,5.5
252,Bahia Blanca,AR,2021-12-07 10:10:15,-38.7196,-62.2724,68.02,63,0,12.46
253,Meulaboh,ID,2021-12-07 10:11:07,4.1363,96.1285,83.73,68,37,4.9
254,Kargopol,RU,2021-12-07 10:11:07,61.5071,38.9456,13.68,94,100,8.77
255,Caravelas,BR,2021-12-07 10:11:07,-17.7125,-39.2481,72.12,94,100,3.11
256,Husavik,IS,2021-12-07 10:11:08,66.0449,-17.3389,27.7,90,100,7.38
257,Hopelchen,MX,2021-12-07 10:11:08,19.7667,-89.85,70.47,100,16,2.39
258,Bambous Virieux,MU,2021-12-07 10:11:08,-20.3428,57.7575,84.45,58,40,10.36
259,Kui Buri,TH,2021-12-07 10:11:08,12.0828,99.8543,77.07,68,18,8.5
260,Laguna,US,2021-12-07 10:11:09,38.421,-121.4238,51.22,96,90,1.01
261,Luanda,AO,2021-12-07 10:11:09,-8.8368,13.2343,82.4,78,75,6.91
262,Kanniyakumari,IN,2021-12-07 10:11:09,8.0833,77.5667,85.44,68,69,14.7
263,Salinopolis,BR,2021-12-07 10:11:10,-0.6136,-47.3561,80.33,84,90,8.25
264,Zemetchino,RU,2021-12-07 10:11:10,53.4973,42.6163,30.27,81,100,19.01
265,Lupeni,RO,2021-12-07 10:11:10,45.3603,23.2383,35.4,98,100,4.45
266,Tombouctou,ML,2021-12-07 10:11:11,20.0,-3.0,70.63,14,38,17.78
267,Lorengau,PG,2021-12-07 10:11:11,-2.0226,147.2712,82.15,81,100,16.49
268,Bykovo,RU,2021-12-07 10:11:11,55.6361,38.0803,30.61,100,90,11.18
269,Kilindoni,TZ,2021-12-07 10:11:11,-7.9139,39.6668,81.34,75,96,6.73
270,Tacna,PE,2021-12-07 10:11:12,-18.0056,-70.2483,59.9,87,100,2.24
271,Ilulissat,GL,2021-12-07 10:11:12,69.2167,-51.1,19.42,49,20,8.05
272,Longkou,CN,2021-12-07 10:11:12,37.6508,120.3286,43.93,55,28,4.83
273,Ulladulla,AU,2021-12-07 10:12:12,-35.35,150.4667,68.09,89,61,11.36
274,North Platte,US,2021-12-07 10:12:12,41.1239,-100.7654,28.29,52,40,1.01
275,Ola,RU,2021-12-07 10:12:13,59.5833,151.2833,3.15,81,100,13.91
276,Rantauprapat,ID,2021-12-07 10:12:13,2.1,99.8333,79.86,91,47,3.11
277,Hualmay,PE,2021-12-07 10:12:13,-11.0964,-77.6139,66.34,88,99,5.08
278,Ostrovnoy,RU,2021-12-07 10:12:13,68.0531,39.5131,5.9,95,94,12.55
279,Conceicao Do Almeida,BR,2021-12-07 10:12:14,-12.7794,-39.17,74.35,88,98,4.38
280,Noumea,NC,2021-12-07 10:11:53,-22.2763,166.4572,82.99,99,8,8.66
