City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
534,Santa Fe,AR,88.02,clear sky,-31.6333,-60.7,Conquistador Hotel
535,Puerto Ayacucho,VE,87.17,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
536,Morondava,MG,83.16,scattered clouds,-20.2833,44.2833,La Case Bambou
537,Kalabo,ZM,76.84,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
538,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
540,Kulachi,PK,61.7,clear sky,31.9286,70.4592,Technical Zafran Mobile Zon kulachi
543,Waingapu,ID,79.27,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
544,Katsuura,JP,53.71,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
545,Guiglo,CI,94.32,clear sky,6.5456,-7.4966,Hotel GBAOLY 2
546,Coquimbo,CL,62.33,broken clouds,-29.9533,-71.3436,Punto de encuentro
547,Ajaccio,FR,50.49,clear sky,42.0,8.9167,Sole E Monte
548,Yulara,AU,75.04,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
549,Sitio Novo Do Tocantins,BR,84.52,scattered clouds,-5.5183,-47.4611,Imperial Hotel
550,Domoni,KM,81.0,overcast clouds,-12.2569,44.5319,Al Djadid
551,Matamoros,MX,60.91,broken clouds,25.5333,-103.25,Quinta Belem
554,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
556,Taunggyi,MM,57.9,scattered clouds,20.7833,97.0333,True Treasure Hotel
557,Antsohihy,MG,82.49,few clouds,-14.8796,47.9875,Hotel de Ville
558,Tala,EG,65.14,clear sky,30.6803,30.9429,وي
559,Okato,NZ,66.42,light rain,-39.2,173.8833,Goodin Country Garden
563,Russell,US,50.97,overcast clouds,32.3502,-85.1999,Macs
564,Cascais,PT,63.63,broken clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
565,Katherine,AU,80.92,overcast clouds,-14.4667,132.2667,Pine Tree Motel
567,Tan An,VN,77.02,scattered clouds,10.5333,106.4167,Khách Sạn Quỳnh Anh
569,Biak,ID,76.77,overcast clouds,-0.9131,122.8766,Penginapan Kim
571,Ewa Beach,US,71.55,light rain,21.3156,-158.0072,Uncle Junior Robert
573,Los Llanos De Aridane,ES,64.15,volcanic ash,28.6585,-17.9182,Valle Aridane
574,Monrovia,LR,83.62,overcast clouds,6.3005,-10.7969,Sunset Inn
575,Adana,TR,64.92,clear sky,36.985,35.2881,Güney Adana Otel
576,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
579,Saiha,IN,66.85,overcast clouds,22.4833,92.9667,"Circuit House, Siaha"
580,Ahipara,NZ,64.58,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
581,Naze,JP,62.08,clear sky,28.3667,129.4833,Shishime Hotel
583,Nouakchott,MR,87.73,broken clouds,18.0858,-15.9785,HOTEL IMAN
584,Barranca,PE,70.56,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
585,Barra Do Garcas,BR,92.77,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
586,Ramon Castilla,PE,82.65,broken clouds,-4.2569,-69.9594,Cabañas La Manigua
587,Chlorakas,CY,67.23,overcast clouds,34.8042,32.4083,Elysium Hotel
589,Porto Nacional,BR,77.0,few clouds,-10.7081,-48.4172,Vila Real Hotel
592,Bitung,ID,81.45,overcast clouds,1.4451,125.1824,K2 Lembeh
594,Jobat,IN,71.56,clear sky,22.4167,74.5667,Singh house
595,Pinheiro Machado,BR,73.06,scattered clouds,-31.5783,-53.3811,Hotel e Restaurante Quitandinha
597,San Vicente,AR,84.27,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
598,Sibolga,ID,78.08,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
601,Paungde,MM,71.49,clear sky,18.4833,95.5,Shwe Eain Matt highly cool guest house
602,Victor Harbor,AU,55.72,overcast clouds,-35.5667,138.6167,McCracken Country Club
603,Ixtapa,MX,74.43,clear sky,20.7,-105.2,Hotel Plaza Providencia
605,Redcliffe,AU,73.35,broken clouds,-27.2307,153.0973,Redvue Apartments
606,Nago,JP,69.87,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
607,Yenagoa,NG,88.83,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
608,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
611,Hit,IQ,59.86,overcast clouds,33.6416,42.8251,صالون زيرو
614,Emerald,AU,69.98,overcast clouds,-23.5333,148.1667,The Irish Village
615,Ozu,JP,52.18,scattered clouds,33.5,132.55,HOTEL FOREST
618,Indore,IN,62.78,haze,22.7179,75.8333,Capital O 62303 Hotel Apna Palace
619,Male,MV,82.99,broken clouds,4.1748,73.5089,Hotel Octave Maldives
620,Riyadh,SA,66.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
621,Ramhormoz,IR,68.22,scattered clouds,31.28,49.6035,کافی نت کاریزما
622,Takoradi,GH,83.37,broken clouds,4.8845,-1.7554,Raybow International Hotel
626,Oriximina,BR,84.06,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
631,Maumere,ID,80.78,overcast clouds,-8.6199,122.2111,Sylvia Hotel
632,Tacoronte,ES,64.54,broken clouds,28.4769,-16.4102,Casa Laurel
633,Zhicheng,CN,50.0,overcast clouds,30.2956,111.5047,Wangjiang Building
636,Puerto Carreno,CO,91.22,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
638,Aswan,EG,76.8,broken clouds,24.0934,32.907,Nuba Nile
642,Udaipur,IN,59.9,clear sky,24.5712,73.6918,"Taj Lake Palace, Udaipur"
644,Farafangana,MG,78.37,clear sky,-22.8167,47.8333,Miarina
645,Collie,AU,60.98,clear sky,-33.3667,116.15,Collie Ridge
646,Neiafu,TO,79.48,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
647,Ternate,ID,81.54,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
648,Sola,VU,80.53,overcast clouds,-13.8833,167.55,Leumerus Bungalows
649,Half Moon Bay,US,54.3,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
651,Abonnema,NG,87.64,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
653,Leshan,CN,50.99,overcast clouds,29.5623,103.7639,Leshan Haiyun International Youth Hostel
654,Navrongo,GH,97.83,broken clouds,10.8956,-1.0921,Azakka Hotel
655,Camacari,BR,85.77,broken clouds,-12.6975,-38.3242,Hotel Cambuci
656,Quelimane,MZ,82.04,overcast clouds,-17.8786,36.8883,Hotel Flamingo
657,Conceicao Das Alagoas,BR,88.52,clear sky,-19.9147,-48.3883,Bouganville Hotel
658,Benguela,AO,81.61,broken clouds,-12.5763,13.4055,Hotel Praia Morena
660,Prainha,BR,87.93,broken clouds,-1.8,-53.48,Casa Rocha
663,Huilong,CN,53.04,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
665,Rayong,TH,72.77,scattered clouds,12.8333,101.4333,Suan Palm Garden View Hotel
666,Karanganyar,ID,76.59,overcast clouds,-6.7072,111.0834,Guntur Patie Home's
668,Jalu,LY,58.73,clear sky,29.0331,21.5482,صاحبة الفخامة
670,Tucurui,BR,75.52,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
671,Rancho Palos Verdes,US,58.78,overcast clouds,33.7445,-118.387,Terranea Resort
672,Muisne,EC,80.71,overcast clouds,0.6,-80.0333,Quinta Samay
673,Metro,ID,74.98,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
674,Bure,ET,61.18,broken clouds,10.7,37.0667,Holiday
675,Fukue,JP,59.95,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
678,Zaraza,VE,92.01,few clouds,9.3503,-65.3245,Hotel Zaraza
